Year,Lake,Species,Michigan (MI),New York (NY),Ohio (OH),Pennsylvania (PA),U.S. Total,Canada (ONT),Grand Total,Comments
1968,Erie,Carp,348,0,2385,0,2733,94,2827,
1969,Erie,Carp,432,0,2587,1,3020,190,3210,
1970,Erie,Carp,332,27,3042,0,3401,30,3431,
1971,Erie,Carp,115,0,3262,0,3377,52,3429,
1972,Erie,Carp,261,3,2987,0,3251,63,3314,
1973,Erie,Carp,254,2,2136,0,2392,60,2452,
1974,Erie,Carp,330,1,2779,,3110,42,3152,
1975,Erie,Carp,439,3,2779,,3221,64,3285,
1976,Erie,Carp,487,20,2634,0,3141,53,3194,
1977,Erie,Carp,354,2,2752,,3108,93,3201,
1978,Erie,Carp,310,1,1546,0,1857,64,1921,
1979,Erie,Carp,383,8,1981,0,2372,32,2404,
1980,Erie,Carp,545,1,1368,0,1914,23,1937,
1981,Erie,Carp,665,1,2047,0,2713,32,2745,
1982,Erie,Carp,678,1,906,0,1585,43,1628,
1983,Erie,Carp,623,0,929,0,1552,197,1749,
1984,Erie,Carp,423,0,800,0,1223,90,1313,
1985,Erie,Carp,740,0,821,6,1567,10,1577,
1986,Erie,Carp,367,0,771,0,1138,17,1155,
1987,Erie,Carp,685,0,798,0,1483,9,1492,
1988,Erie,Carp,417,0,1011,0,1428,4,1432,
1989,Erie,Carp,194,0,895,0,1089,8,1097,
1990,Erie,Carp,158,0,1190,0,1348,2,1350,
1991,Erie,Carp,198,0,1063,0,1261,10,1271,
1992,Erie,Carp,251,0,1824,0,2075,7,2082,
1993,Erie,Carp,239,0,1176,0,1415,6,1421,
1994,Erie,Carp,95,0,1439,0,1534,524,2058,
1995,Erie,Carp,329,0,1517,0,1846,273,2119,
1996,Erie,Carp,388,0,1401,,1789,246,2035,
1997,Erie,Carp,325,0,1413,0.096,1738.096,12,1750.096,ONT: Data is Processor weight (thousands of pounds)
1998,Erie,Carp,620,0,1336,0.132,1956.132,41,1997.132,
1999,Erie,Carp,211,0,1111,,1322,261,1583,
2000,Erie,Carp,313,,956,,1269,215,1484,Canadian data is processor weight
2001,Erie,Carp,185.495,,858,,1043.495,80,1123.495,Canadian data is processor weight
2002,Erie,Carp,336.82,524,0,,860.82,52,912.82,Canadian data is landed weight
2003,Erie,Carp,65.02,,582,,647.02,0,647.02,Canadian data is landed weight
2004,Erie,Carp,97.38,,452,,549.38,8,557.38,Canadian data is landed weight
2005,Erie,Carp,319.7,340,0,,659.7,9,668.7,Canadian data is landed weight
2006,Erie,Carp,378.123,,271,,649.123,13,662.123,
2007,Erie,Carp,241.356,,322,,563.356,4,567.356,
2008,Erie,Carp,204.881,,199,,403.881,5,408.881,
2009,Erie,Carp,198.942,,249,,447.942,6,453.942,
2010,Erie,Carp,176.749,,256,,432.749,2,434.749,
2011,Erie,Carp,401.034,,208.262,0.003,609.299,3,612.299,
2012,Erie,Carp,509.697,,199.653,,709.35,9,718.35,
2013,Erie,Carp,256.606,,146.319,,402.925,1.11,404.035,
2014,Erie,Carp,353.979,,84.935,,438.914,1.932,440.846,
2015,Erie,Carp,227.946,,81.241,,309.187,5.356,314.543,
2016,Erie,Carp,187.838,,90.862,,278.7,8.68,287.38,
2017,Erie,Carp,46.707,,49.408,0.01,96.125,3.404,99.529,
2018,Erie,Carp,34.721,,37.358,,72.079,7.019,79.098,
2019,Erie,Carp,37.876,,68.304,,106.18,5.384,111.564,
2020,Erie,Carp,8.356,,59.493,,67.849,4.822,72.671,
1913,Erie,Channel Catfish,,,110,,110,,110,OH: Records cover only part of season.
1914,Erie,Channel Catfish,,,584,,584,,584,
1915,Erie,Channel Catfish,,,405,,405,,405,
1916,Erie,Channel Catfish,,,794,,794,,794,
1917,Erie,Channel Catfish,,,2051,,2051,,2051,
1918,Erie,Channel Catfish,,,287,,287,,287,
1919,Erie,Channel Catfish,5,,558,,563,,563,
1920,Erie,Channel Catfish,5,,552,,557,,557,
1921,Erie,Channel Catfish,27,,1172,,1199,,1199,
1922,Erie,Channel Catfish,14,,539,,553,,553,
1923,Erie,Channel Catfish,,,530,,530,,530,
1924,Erie,Channel Catfish,10,,238,,248,,248,
1925,Erie,Channel Catfish,11,,,,11,,11,
1926,Erie,Channel Catfish,10,,,,10,,10,
1927,Erie,Channel Catfish,,,,,,,,
1928,Erie,Channel Catfish,8,,213,,221,,221,
1929,Erie,Channel Catfish,14,,201,,215,,215,
1930,Erie,Channel Catfish,7,,171,,178,,178,
1931,Erie,Channel Catfish,10,,108,,118,,118,
1932,Erie,Channel Catfish,16,,248,,264,,264,
1933,Erie,Channel Catfish,9,,,,9,,9,
1934,Erie,Channel Catfish,10,,,,10,,10,
1935,Erie,Channel Catfish,15,,422,,437,,437,
1936,Erie,Channel Catfish,12,,,,12,,12,
1937,Erie,Channel Catfish,11,,,,11,,11,
1938,Erie,Channel Catfish,22,,,,22,,22,
1939,Erie,Channel Catfish,18,,,,18,,18,
1940,Erie,Channel Catfish,28,,,,28,,28,
1941,Erie,Channel Catfish,21,,,,21,,21,
1942,Erie,Channel Catfish,40,,,,40,,40,
1943,Erie,Channel Catfish,63,,,,63,,63,
1944,Erie,Channel Catfish,35,,,,35,,35,
1945,Erie,Channel Catfish,44,,,,44,,44,
1946,Erie,Channel Catfish,37,0,657,1,695,,695,
1947,Erie,Channel Catfish,41,0,708,0,749,,749,
1948,Erie,Channel Catfish,27,1,625,0,653,,653,
1949,Erie,Channel Catfish,27,1,839,0,867,,867,
1950,Erie,Channel Catfish,24,1,965,0,990,,990,
1951,Erie,Channel Catfish,25,0,1258,0,1283,,1283,
1952,Erie,Channel Catfish,28,0,1492,2,1522,239,1761,
1953,Erie,Channel Catfish,19,2,1330,0,1351,167,1518,
1954,Erie,Channel Catfish,33,1,1845,1,1880,172,2052,
1955,Erie,Channel Catfish,76,0,1871,1,1948,148,2096,
1956,Erie,Channel Catfish,86,1,1573,0,1660,129,1789,
1957,Erie,Channel Catfish,57,2,1493,3,1555,122,1677,
1958,Erie,Channel Catfish,73,1,1395,3,1472,198,1670,
1959,Erie,Channel Catfish,89,1,1337,2,1429,192,1621,
1960,Erie,Channel Catfish,93,0,1525,1,1619,164,1783,
1961,Erie,Channel Catfish,86,1,1538,1,1626,128,1754,
1962,Erie,Channel Catfish,52,1,1072,1,1126,176,1302,
1963,Erie,Channel Catfish,41,0,1049,0,1090,156,1246,
1964,Erie,Channel Catfish,48,0,1115,1,1164,171,1335,
1965,Erie,Channel Catfish,50,0,939,1,990,121,1111,
1966,Erie,Channel Catfish,32,0,711,0,743,159,902,
1967,Erie,Channel Catfish,31,1,623,0,655,125,780,
1968,Erie,Channel Catfish,22,1,746,0,769,92,861,
1969,Erie,Channel Catfish,21,1,713,1,736,102,838,
1970,Erie,Channel Catfish,2,0,527,0,529,49,578,
1971,Erie,Channel Catfish,,1,627,0,628,101,729,
1972,Erie,Channel Catfish,12,0,672,0,684,88,772,
1973,Erie,Channel Catfish,11,0,243,0,254,113,367,"OH: Minimum size limit changed from 14'' to 15.5'', 3 March 1973."
1974,Erie,Channel Catfish,10,0,300,0,310,88,398,
1975,Erie,Channel Catfish,14,1,258,1,274,160,434,
1976,Erie,Channel Catfish,37,0,223,1,261,80,341,
1977,Erie,Channel Catfish,52,0,256,,308,54,362,
1978,Erie,Channel Catfish,23,0,205,0,228,98,326,
1979,Erie,Channel Catfish,26,1,240,0,267,82,349,
1980,Erie,Channel Catfish,21,0,252,1,274,87,361,
1981,Erie,Channel Catfish,49,0,263,1,313,100,413,
1982,Erie,Channel Catfish,20,0,218,1,239,70,309,
1983,Erie,Channel Catfish,29,0,216,0,245,80,325,
1984,Erie,Channel Catfish,9,0,303,1,313,61,374,
1985,Erie,Channel Catfish,9,0,264,1,274,30,304,
1986,Erie,Channel Catfish,11,0,262,0,273,46,319,
1987,Erie,Channel Catfish,40,0,272,0,312,49,361,
1988,Erie,Channel Catfish,15,1,244,0,260,64,324,
1989,Erie,Channel Catfish,11,0,342,0,353,43,396,
1990,Erie,Channel Catfish,2,0,365,0,367,44,411,
1991,Erie,Channel Catfish,2,0,376,0,378,43,421,
1992,Erie,Channel Catfish,5,0,333,0,338,44,382,
1993,Erie,Channel Catfish,9,0,326,0,335,38,373,
1994,Erie,Channel Catfish,6,0,370,0,376,44,420,
1995,Erie,Channel Catfish,16,0,382,0,398,27,425,
1996,Erie,Channel Catfish,25,0,421,6.848,452.848,34,486.848,
1997,Erie,Channel Catfish,18,0,313,3.806,334.806,0,334.806,ONT: Data is Processor weight (thousands of pounds)
1998,Erie,Channel Catfish,17,0,302,2.125,321.125,12,333.125,
1999,Erie,Channel Catfish,8,0,318,1.877,327.877,9,336.877,
2000,Erie,Channel catfish,14,,261,1.269,276.269,4,280.269,Canadian data is processor weight
2001,Erie,Channel catfish,16.328,,322,0.601,338.929,4,342.929,Canadian data is processor weight
2002,Erie,Channel catfish,39.778,312,0,0.452,352.23,4,356.23,Canadian data is landed weight
2003,Erie,Channel catfish,7.89,0,319,0.073,326.963,5,331.963,Canadian data is landed weight
2004,Erie,Channel catfish,23.6,,261,0.072,284.672,8,292.672,Canadian data is landed weight
2005,Erie,Channel catfish,15.657,310,1,0.88,327.537,10,337.537,Canadian data is landed weight
2006,Erie,Channel catfish,42.931,,385,0.292,428.223,16,444.223,
2007,Erie,Channel catfish,98.979,,342,0.159,441.138,10,451.138,
2008,Erie,Channel catfish,71.385,,447,0.129,518.514,10,528.514,
2009,Erie,Channel catfish,64.725,,407,,471.725,29,500.725,
2010,Erie,Channel catfish,64.913,,453,,517.913,13,530.913,
2011,Erie,Channel catfish,138.54,0,520.811,0.001,659.352,18,677.352,
2012,Erie,Channel catfish,135.002,0,372.242,0.514,507.758,30,537.758,
2013,Erie,Channel catfish,102.197,0,461.658,,563.855,23.833,587.688,
2014,Erie,Channel catfish,117.835,0,419.853,0.01,537.698,20.277,557.975,
2015,Erie,Channel catfish,144.5,1,419.732,3.515,568.747,48.858,617.605,
2016,Erie,Channel catfish,155.315,,376.613,0.966,532.894,39.551,572.445,
2017,Erie,Channel catfish,81.639,,361.66,1.755,445.054,32.764,477.818,
2018,Erie,Channel catfish,51.828,,343.976,0.165,395.969,23.427,419.396,
2019,Erie,Channel catfish,102.491,,460.818,0.303,563.612,21.816,585.428,
2020,Erie,Channel catfish,23.183,,504.127,6.493,533.803,19.249,553.052,
1885,Erie,Channel Catfish and Bullheads,214,36,2452,100,2802,,2802,
1886,Erie,Channel Catfish and Bullheads,,,,,,,,
1887,Erie,Channel Catfish and Bullheads,,,,,,,,
1888,Erie,Channel Catfish and Bullheads,,,,,,,,
1889,Erie,Channel Catfish and Bullheads,169,88,941,54,1252,,1252,
1890,Erie,Channel Catfish and Bullheads,180,277,1348,121,1926,,1926,
1891,Erie,Channel Catfish and Bullheads,16,,,,16,,,
1892,Erie,Channel Catfish and Bullheads,8,,,,8,,,
1893,Erie,Channel Catfish and Bullheads,19,,,,777,,777,
1894,Erie,Channel Catfish and Bullheads,28,,,,28,,28,
1895,Erie,Channel Catfish and Bullheads,28,,,,28,,28,
1896,Erie,Channel Catfish and Bullheads,111,,,,111,14,125,
1897,Erie,Channel Catfish and Bullheads,35,,,,35,28,63,
1898,Erie,Channel Catfish and Bullheads,37,,,,37,28,65,
1899,Erie,Channel Catfish and Bullheads,28,136,704,101,969,33,1002,
1900,Erie,Channel Catfish and Bullheads,40,,,,40,48,88,
1901,Erie,Channel Catfish and Bullheads,52,,,,52,51,103,
1902,Erie,Channel Catfish and Bullheads,48,,,,48,34,82,
1903,Erie,Channel Catfish and Bullheads,59,3,145,12,219,42,261,
1904,Erie,Channel Catfish and Bullheads,33,,,,33,47,80,
1905,Erie,Channel Catfish and Bullheads,61,,,,61,36,97,
1906,Erie,Channel Catfish and Bullheads,51,,,,51,34,85,
1907,Erie,Channel Catfish and Bullheads,38,,,,38,31,69,
1908,Erie,Channel Catfish and Bullheads,39,14,467,11,531,19,550,
1909,Erie,Channel Catfish and Bullheads,,,,,,31,31,
1910,Erie,Channel Catfish and Bullheads,,,,,,30,30,
1911,Erie,Channel Catfish and Bullheads,,,,,,50,50,
1912,Erie,Channel Catfish and Bullheads,,,,,,53,53,
1913,Erie,Channel Catfish and Bullheads,,,158,3,161,27,188,OH: Records cover only part of season.
1914,Erie,Channel Catfish and Bullheads,,,769,2,771,163,934,
1915,Erie,Channel Catfish and Bullheads,,,590,1,591,38,629,
1916,Erie,Channel Catfish and Bullheads,,,1246,0,1246,23,1269,
1917,Erie,Channel Catfish and Bullheads,,1,2190,1,2192,37,2229,
1918,Erie,Channel Catfish and Bullheads,,1,420,0,421,47,468,
1919,Erie,Channel Catfish and Bullheads,44,2,1047,0,1093,34,1127,
1920,Erie,Channel Catfish and Bullheads,49,,681,0,730,42,772,
1921,Erie,Channel Catfish and Bullheads,39,,1383,0,1422,46,1468,
1922,Erie,Channel Catfish and Bullheads,56,,648,0,704,58,762,
1923,Erie,Channel Catfish and Bullheads,4,,637,0,641,58,699,
1924,Erie,Channel Catfish and Bullheads,12,,264,0,276,57,333,
1925,Erie,Channel Catfish and Bullheads,16,,,,690,37,727,
1926,Erie,Channel Catfish and Bullheads,30,0,681,2,713,26,739,
1927,Erie,Channel Catfish and Bullheads,18,0,536,3,557,42,599,
1928,Erie,Channel Catfish and Bullheads,29,0,228,6,263,53,316,
1929,Erie,Channel Catfish and Bullheads,62,1,213,1,277,117,394,
1930,Erie,Channel Catfish and Bullheads,64,3,238,9,314,103,417,
1931,Erie,Channel Catfish and Bullheads,193,1,304,11,509,142,651,
1932,Erie,Channel Catfish and Bullheads,176,2,433,3,614,83,697,
1933,Erie,Channel Catfish and Bullheads,72,1,914,10,997,100,1097,
1934,Erie,Channel Catfish and Bullheads,65,2,497,4,568,72,640,
1935,Erie,Channel Catfish and Bullheads,59,1,489,3,552,64,616,
1936,Erie,Channel Catfish and Bullheads,36,1,535,3,575,71,646,
1937,Erie,Channel Catfish and Bullheads,44,1,755,4,804,57,861,
1938,Erie,Channel Catfish and Bullheads,52,1,409,2,464,78,542,
1939,Erie,Channel Catfish and Bullheads,54,1,374,3,432,110,542,
1940,Erie,Channel Catfish and Bullheads,71,1,483,4,559,129,688,
1941,Erie,Channel Catfish and Bullheads,74,0,639,3,716,109,825,
1942,Erie,Channel Catfish and Bullheads,89,0,877,2,968,61,1029,
1943,Erie,Channel Catfish and Bullheads,117,0,1035,1,1153,63,1216,
1944,Erie,Channel Catfish and Bullheads,83,0,814,1,898,83,981,
1945,Erie,Channel Catfish and Bullheads,130,0,1023,1,1154,72,1226,
1946,Erie,Channel Catfish and Bullheads,115,0,976,1,1092,74,1166,
1947,Erie,Channel Catfish and Bullheads,91,0,889,0,980,93,1073,
1948,Erie,Channel Catfish and Bullheads,78,1,729,0,808,115,923,
1949,Erie,Channel Catfish and Bullheads,67,1,924,0,992,89,1081,
1950,Erie,Channel Catfish and Bullheads,61,1,1004,0,1066,79,1145,
1951,Erie,Channel Catfish and Bullheads,48,1,1302,0,1351,116,1467,
1990,Erie,Channel Catfish and Bullheads,,,,,,43,43,
1991,Erie,Channel Catfish and Bullheads,,,,,,43,43,
1992,Erie,Channel Catfish and Bullheads,,,,,,44,44,
1993,Erie,Channel Catfish and Bullheads,,,,,,38,38,
1994,Erie,Channel Catfish and Bullheads,,,,,,44,44,
1995,Erie,Channel Catfish and Bullheads,,,,,,27,27,
1996,Erie,Channel Catfish and Bullheads,,,,,,34,34,
1867,Erie,Cisco,,,,,,2,2,
1868,Erie,Cisco,,,,,,2,2,
1869,Erie,Cisco,,,,,,30,30,
1870,Erie,Cisco,,,,,,31,31,
1871,Erie,Cisco,,,,,,44,44,
1872,Erie,Cisco,,,,,,96,96,
1873,Erie,Cisco,,,,,,162,162,
1874,Erie,Cisco,,,,,,293,293,
1875,Erie,Cisco,,,,,,323,323,
1876,Erie,Cisco,,,,,,670,670,
1877,Erie,Cisco,,,,,,563,563,
1878,Erie,Cisco,,,,,,619,619,
1879,Erie,Cisco,,,,,,575,575,
1880,Erie,Cisco,,,,,,882,882,
1881,Erie,Cisco,,,,,,1868,1868,
1882,Erie,Cisco,,,,,,2008,2008,
1883,Erie,Cisco,,,,,,2255,2255,
1884,Erie,Cisco,,,,,,2763,2763,
1885,Erie,Cisco,837,83,15038,3397,19355,5951,25306,
1886,Erie,Cisco,,,,,,3422,3422,
1887,Erie,Cisco,,,,,,6303,6303,
1888,Erie,Cisco,,,,,,5934,5934,
1889,Erie,Cisco,455,1408,28732,6606,37201,6903,44104,
1890,Erie,Cisco,1458,1807,27889,8013,39167,5393,44560,
1891,Erie,Cisco,335,,,,,5543,5543,
1892,Erie,Cisco,208,,,,,6126,6126,
1893,Erie,Cisco,58,,,,21062,6043,27105,
1894,Erie,Cisco,40,,,,,5224,5224,
1895,Erie,Cisco,16,,,,,5140,5140,
1896,Erie,Cisco,110,,,,,4275,4275,
1897,Erie,Cisco,8,898,11721,6941,19567,5536,25103,
1898,Erie,Cisco,45,,,,,4860,4860,
1899,Erie,Cisco,18,3322,19346,10742,33428,6277,39705,
1900,Erie,Cisco,11,,,,,6527,6527,
1901,Erie,Cisco,15,,,,,4860,4860,
1902,Erie,Cisco,10,,,,,2518,2518,
1903,Erie,Cisco,8,1505,1531,5750,8794,1728,10522,
1904,Erie,Cisco,3,,,,,2650,2650,
1905,Erie,Cisco,11,,,,,3015,3015,
1906,Erie,Cisco,4,,,,,2845,2845,
1907,Erie,Cisco,6,,,,,2821,2821,
1908,Erie,Cisco,2,2009,4792,3796,10599,5301,15900,
1909,Erie,Cisco,,,,,,4677,4677,
1910,Erie,Cisco,,,,,,6960,6960,
1911,Erie,Cisco,,,,,,9955,9955,
1912,Erie,Cisco,3,,,,,13956,13956,
1913,Erie,Cisco,2,2915,1927,7670,,11651,11651,OH: records cover only part of fishing season
1914,Erie,Cisco,2,3800,4837,5469,14108,6236,20344,
1915,Erie,Cisco,0,4685,3131,8162,15978,5595,21573,
1916,Erie,Cisco,42,2817,2224,3254,8337,5234,13571,
1917,Erie,Cisco,1,865,13366,5222,19454,14170,33624,
1918,Erie,Cisco,4,3313,8877,23095,35289,13532,48821,
1919,Erie,Cisco,0,3933,8913,5900,18746,7427,26173,
1920,Erie,Cisco,0,2438,4094,6361,12893,9651,22544,
1921,Erie,Cisco,,2339,4055,8570,14964,5225,20189,
1922,Erie,Cisco,2,3803,801,9417,14023,6306,20329,
1923,Erie,Cisco,2,5781,798,14349,20930,9241,30171,
1924,Erie,Cisco,3,7626,215,13449,21293,10908,32201,
1925,Erie,Cisco,4,,63,,2817,2940,5757,
1926,Erie,Cisco,,216,107,1126,1449,1573,3022,
1927,Erie,Cisco,,612,113,1625,2350,2309,4659,
1928,Erie,Cisco,,238,24,356,618,1273,1891,
1929,Erie,Cisco,,14,26,88,128,361,489,
1930,Erie,Cisco,,59,57,230,346,507,853,
1931,Erie,Cisco,,177,41,128,346,949,1295,
1932,Erie,Cisco,,27,50,83,160,851,1011,
1933,Erie,Cisco,,9,22,104,135,178,313,
1934,Erie,Cisco,,10,30,70,110,236,346,
1935,Erie,Cisco,,6,10,55,71,96,167,
1936,Erie,Cisco,0,2,13,53,68,79,147,
1937,Erie,Cisco,,6,2,57,65,99,164,
1938,Erie,Cisco,,397,41,372,810,1375,2185,
1939,Erie,Cisco,,412,77,228,717,1973,2690,
1940,Erie,Cisco,,11,17,34,62,585,647,
1941,Erie,Cisco,,1,9,38,48,116,164,
1942,Erie,Cisco,,1,10,15,26,62,88,
1943,Erie,Cisco,,2,15,10,27,56,83,
1944,Erie,Cisco,,17,24,58,99,336,435,
1945,Erie,Cisco,1,878,677,1209,2765,6445,9210,
1946,Erie,Cisco,,2124,1579,2936,6639,9525,16164,
1947,Erie,Cisco,,286,448,443,1177,2485,3662,
1948,Erie,Cisco,,19,95,100,214,603,817,
1949,Erie,Cisco,,4,57,28,89,393,482,
1950,Erie,Cisco,,3,186,57,246,645,891,
1951,Erie,Cisco,,13,93,44,150,323,473,
1952,Erie,Cisco,,5,21,30,56,329,385,
1953,Erie,Cisco,,6,26,33,65,234,299,
1954,Erie,Cisco,,12,48,40,100,281,381,
1955,Erie,Cisco,,0,19,14,33,96,129,
1956,Erie,Cisco,,1,12,46,59,194,253,
1957,Erie,Cisco,,2,9,11,22,104,126,
1958,Erie,Cisco,,0,9,5,14,62,76,
1959,Erie,Cisco,0,1,9,6,16,39,55,
1960,Erie,Cisco,,1,7,4,12,6,18,
1961,Erie,Cisco,,2,3,1,6,3,9,
1962,Erie,Cisco,,4,1,0,5,2,7,
1963,Erie,Cisco,,1,0,0,1,2,3,
1964,Erie,Cisco,,0,1,0,1,2,3,
1965,Erie,Cisco,,,1,,1,,1,
1966,Erie,Cisco,,0,0,0,0,0,0,
1967,Erie,Cisco,,,0,0,0,0,0,
1968,Erie,Cisco,,,0,,0,0,0,
1969,Erie,Cisco,,0,,0,0,,0,
1970,Erie,Cisco,,0,,0,0,,0,
1971,Erie,Cisco,,,,,,,0,
1972,Erie,Cisco,,,,0,0,0,0,
1973,Erie,Cisco,,,,0,0,,0,
1974,Erie,Cisco,,,,,,,0,
1975,Erie,Cisco,,,,0,0,,0,
1976,Erie,Cisco,,,,,,,0,
1977,Erie,Cisco,,0,,,0,,0,
2012,Erie,Cisco,,,,,,0,0,
2013,Erie,Cisco,,,,,,,0,
2014,Erie,Cisco,,,,,,0,0,
2015,Erie,Cisco,,,,,,,,
2016,Erie,Cisco,,,,,,,,
2017,Erie,Cisco,,,,,,,,
2018,Erie,Cisco,,,,,,,,
2019,Erie,Cisco,,,,,,,,
2020,Erie,Cisco,,,,,,,,
1998,Erie,Crappie,,,,,0,5,5,
1999,Erie,Crappie,,,,,0,7,7,
2011,Erie,Crappie,,,,,,0,0,
1899,Erie,Freshwater Drum,35,10,1044,58,1147,,1147,
1900,Erie,Freshwater Drum,,,,,,,,
1901,Erie,Freshwater Drum,,,,,,,,
1902,Erie,Freshwater Drum,,,,,,,,
1903,Erie,Freshwater Drum,140,1,442,60,643,,643,
1904,Erie,Freshwater Drum,,,,,,,,
1905,Erie,Freshwater Drum,,,,,,,,
1906,Erie,Freshwater Drum,,,,,,,,
1907,Erie,Freshwater Drum,,,,,,,,
1908,Erie,Freshwater Drum,154,,1207,33,1394,,1394,
1909,Erie,Freshwater Drum,,,,,,,,
1910,Erie,Freshwater Drum,,,,,,,,
1911,Erie,Freshwater Drum,,,,,,,,
1912,Erie,Freshwater Drum,,,,,,,,
1913,Erie,Freshwater Drum,,,596,,596,,596,OH: Records cover only part of season.
1914,Erie,Freshwater Drum,,,2282,,2282,,2282,
1915,Erie,Freshwater Drum,,,2212,,2212,,2212,
1916,Erie,Freshwater Drum,,,2384,,2384,,2384,
1917,Erie,Freshwater Drum,,,3013,,3013,,3013,
1918,Erie,Freshwater Drum,,,2982,,2982,,2982,
1919,Erie,Freshwater Drum,92,,2027,,2119,,2119,
1920,Erie,Freshwater Drum,68,,1858,,1926,,1926,
1921,Erie,Freshwater Drum,57,,2784,,2841,,2841,
1922,Erie,Freshwater Drum,25,,1346,,1371,,1371,
1923,Erie,Freshwater Drum,40,,1416,,1456,,1456,
1924,Erie,Freshwater Drum,26,,2263,,2289,,2289,
1925,Erie,Freshwater Drum,41,,,,41,,41,
1926,Erie,Freshwater Drum,45,,1168,,1213,,1213,
1927,Erie,Freshwater Drum,219,,4066,34,4319,,4319,
1928,Erie,Freshwater Drum,30,,2855,33,2918,,2918,
1929,Erie,Freshwater Drum,104,1,2860,5,2970,,2970,
1930,Erie,Freshwater Drum,63,,2800,23,2886,,2886,
1931,Erie,Freshwater Drum,57,,1545,23,1625,,1625,
1932,Erie,Freshwater Drum,62,,2069,14,2145,,2145,
1933,Erie,Freshwater Drum,138,,2852,17,3007,,3007,
1934,Erie,Freshwater Drum,72,,2158,11,2241,,2241,
1935,Erie,Freshwater Drum,68,,2270,12,2350,,2350,
1936,Erie,Freshwater Drum,93,,3396,11,3500,,3500,
1937,Erie,Freshwater Drum,75,0,3960,24,4059,,4059,
1938,Erie,Freshwater Drum,133,0,3239,20,3392,,3392,
1939,Erie,Freshwater Drum,168,1,3298,27,3494,,3494,
1940,Erie,Freshwater Drum,123,1,2791,46,2961,,2961,
1941,Erie,Freshwater Drum,119,1,3499,27,3646,,3646,
1942,Erie,Freshwater Drum,169,0,4323,56,4548,,4548,
1943,Erie,Freshwater Drum,155,0,4320,38,4513,,4513,
1944,Erie,Freshwater Drum,121,0,2304,27,2452,,2452,
1945,Erie,Freshwater Drum,92,0,4308,5,4405,,4405,
1946,Erie,Freshwater Drum,82,,4178,5,4265,,4265,
1947,Erie,Freshwater Drum,110,,3113,8,3231,,3231,
1948,Erie,Freshwater Drum,80,0,3587,8,3675,724,4399,
1949,Erie,Freshwater Drum,65,,3011,9,3085,439,3524,
1950,Erie,Freshwater Drum,73,1,2215,9,2298,738,3036,
1951,Erie,Freshwater Drum,81,0,3503,8,3592,1005,4597,
1952,Erie,Freshwater Drum,32,1,3513,9,3555,1073,4628,
1953,Erie,Freshwater Drum,19,2,1896,7,1924,772,2696,
1954,Erie,Freshwater Drum,29,0,1691,9,1729,773,2502,
1955,Erie,Freshwater Drum,28,0,1576,10,1614,786,2400,
1956,Erie,Freshwater Drum,44,1,1878,0,1923,713,2636,
1957,Erie,Freshwater Drum,65,2,3719,10,3796,789,4585,
1958,Erie,Freshwater Drum,41,3,2744,29,2817,1727,4544,
1959,Erie,Freshwater Drum,65,9,4485,49,4608,1328,5936,
1960,Erie,Freshwater Drum,108,5,4973,13,5099,1468,6567,
1961,Erie,Freshwater Drum,94,12,5632,26,5764,1116,6880,
1962,Erie,Freshwater Drum,82,3,3431,8,3524,1037,4561,
1963,Erie,Freshwater Drum,71,6,4045,4,4126,1412,5538,
1964,Erie,Freshwater Drum,100,1,4423,26,4550,752,5302,
1965,Erie,Freshwater Drum,92,1,3988,5,4086,980,5066,
1966,Erie,Freshwater Drum,94,3,2058,1,2156,940,3096,
1967,Erie,Freshwater Drum,96,9,2452,3,2560,494,3054,
1968,Erie,Freshwater Drum,83,6,3055,1,3145,651,3796,
1969,Erie,Freshwater Drum,40,24,1993,3,2060,339,2399,
1970,Erie,Freshwater Drum,4,3,1038,3,1048,260,1308,ONT: Fishing pressure decreased in the Essex and Kent county when the walleye and white bass fisheries were closed due to mercury contamination.  Those fisheries were reopened in 1973.
1971,Erie,Freshwater Drum,0,9,826,5,840,93,933,OH: Changing market demand resulted in the shift of fishing pressure to more highly valued species.
1972,Erie,Freshwater Drum,7,6,896,8,917,272,1189,
1973,Erie,Freshwater Drum,22,23,950,2,997,508,1505,
1974,Erie,Freshwater Drum,3,22,668,,693,361,1054,
1975,Erie,Freshwater Drum,2,69,780,2,853,331,1184,
1976,Erie,Freshwater Drum,4,7,952,8,971,341,1312,
1977,Erie,Freshwater Drum,4,21,805,3,833,400,1233,
1978,Erie,Freshwater Drum,2,9,1189,14,1214,351,1565,
1979,Erie,Freshwater Drum,0,29,1271,33,1333,272,1605,
1980,Erie,Freshwater Drum,0,6,903,155,1064,336,1400,
1981,Erie,Freshwater Drum,0,8,1051,223,1282,447,1729,
1982,Erie,Freshwater Drum,1,41,782,241,1065,421,1486,
1983,Erie,Freshwater Drum,4,36,878,89,1007,321,1328,
1984,Erie,Freshwater Drum,0,75,583,78,736,360,1096,
1985,Erie,Freshwater Drum,1,77,489,102,669,476,1145,
1986,Erie,Freshwater Drum,2,0,710,87,799,340,1139,
1987,Erie,Freshwater Drum,2,0,938,37,977,285,1262,
1988,Erie,Freshwater Drum,1,0,655,49,705,386,1091,
1989,Erie,Freshwater Drum,0,0,485,23,508,333,841,
1990,Erie,Freshwater Drum,0,0,640,18,658,193,851,
